Vial,coral.id,timepoint,life.stage,metric,Dilution.Factor,Count.1,Count.2,Count.3,Count.4,Count.5,Count.6,Sum.Counts,#squares/count,Total#Squares,Counter.Initials,Date.Counted
1,P3,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
2,P3,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
3,P3,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
4,P3,Post-Treatment,Adult,Protein,,,,,,,,,,,,
5,P3,Post-Treatment,Adult,Protein,,,,,,,,,,,,
6,P3,Post-Treatment,Adult,Protein,,,,,,,,,,,,
7,P3,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
8,P3,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
9,P3,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
10,R1,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
11,R1,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
12,R1,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
13,R1,Post-Treatment,Adult,Protein,,,,,,,,,,,,
14,R1,Post-Treatment,Adult,Protein,,,,,,,,,,,,
15,R1,Post-Treatment,Adult,Protein,,,,,,,,,,,,
16,R1,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
17,R1,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
18,R1,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
19,P12,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
20,P12,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
21,P12,Post-Treatment,Adult,Zoox,,,,,,,,,,,,
22,P12,Post-Treatment,Adult,Protein,,,,,,,,,,,,
23,P12,Post-Treatment,Adult,Protein,,,,,,,,,,,,
24,P12,Post-Treatment,Adult,Protein,,,,,,,,,,,,
25,P12,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
26,P12,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
27,P12,Post-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
28,P20,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
29,P20,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
30,P20,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
31,P20,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
32,P20,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
33,P20,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
34,P20,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
35,P20,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
36,P20,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
37,P16,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
38,P16,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
39,P16,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
40,P16,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
41,P16,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
42,P16,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
43,P16,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
44,P16,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
45,P16,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
46,P4,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
47,P4,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
48,P4,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
49,P4,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
50,P4,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
51,P4,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
52,P4,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
53,P4,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
54,P4,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
55,P19,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
56,P19,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
57,P19,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
58,P19,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
59,P19,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
60,P19,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
61,P19,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
62,P19,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
63,P19,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
64,P7,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
65,P7,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
66,P7,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
67,P7,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
68,P7,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
69,P7,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
70,P7,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
71,P7,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
72,P7,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
73,P8,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
74,P8,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
75,P8,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
76,P8,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
77,P8,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
78,P8,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
79,P8,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
80,P8,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
81,P8,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
82,P13,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
83,P13,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
84,P13,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
85,P13,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
86,P13,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
87,P13,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
88,P13,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
89,P13,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
90,P13,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
91,P2,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
92,P2,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
93,P2,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
94,P2,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
95,P2,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
96,P2,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
97,P2,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
98,P2,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
99,P2,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
100,P10,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
101,P10,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
102,P10,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
103,P10,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
104,P10,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
105,P10,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
106,P10,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
107,P10,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
108,P10,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
109,P18,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
110,P18,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
111,P18,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
112,P18,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
113,P18,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
114,P18,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
115,P18,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
116,P18,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
117,P18,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
118,P12,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
119,P12,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
120,P12,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
121,P12,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
122,P12,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
123,P12,Pre-Treatment,Adult,Protein,,,,,,,,,,,,
124,P12,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
125,P12,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
126,P12,Pre-Treatment,Adult,RNA/DNA,,,,,,,,,,,,
127,P9,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
128,P9,Pre-Treatment,Adult,Zoox,,,,,,,,,,,,
